filename,width,height,class,xmin,ymin,xmax,ymax
love.47f788c4-94aa-11eb-b54b-dca2663dabe4.jpg,640,480,love,211,149,442,377
love.3dfd8d14-94aa-11eb-b8a2-dca2663dabe4.jpg,640,480,love,191,140,426,402
day.14bf5247-93bb-11eb-98fd-dca2663dabe4.jpg,640,480,day,36,282,515,474
make.63f4d13d-99e7-11eb-a5f1-dca2663dabe4.jpg,640,480,make,214,203,401,430
please.e8dfd57f-9a25-11eb-a1b6-dca2663dabe4.jpg,640,480,please,217,148,370,367
thank you.7dcd98e6-9a25-11eb-a2ab-dca2663dabe4.jpg,640,480,thank you,156,64,301,261
make.6e2e46af-99e7-11eb-95ec-dca2663dabe4.jpg,640,480,make,309,186,473,392
cat.135fe83f-9447-11eb-ac70-dca2663dabe4.jpg,640,480,cat,184,108,277,258
mom.73c94699-93b5-11eb-8a16-dca2663dabe4.jpg,640,480,mom,35,123,285,443
excuse.42c37a2f-93df-11eb-91a6-dca2663dabe4.jpg,640,480,excuse,233,127,497,343
hello.9768d240-93ab-11eb-85dd-dca2663dabe4.jpg,640,480,hello,81,112,314,458
school.9228d016-93b7-11eb-911b-dca2663dabe4.jpg,640,480,school,22,277,319,428
please.e3b1e762-9a25-11eb-909a-dca2663dabe4.jpg,640,480,please,205,166,415,335
day.09d7e75c-93bb-11eb-9a98-dca2663dabe4.jpg,640,480,day,5,302,440,477
night.8f3ea4bb-93bb-11eb-aefe-dca2663dabe4.jpg,640,480,night,36,300,516,480
cat.13b1e8c4-9447-11eb-8b3a-dca2663dabe4.jpg,640,480,cat,199,108,304,247
day.1eb818ca-93bb-11eb-a1c6-dca2663dabe4.jpg,640,480,day,32,267,444,441
cold.6b125b96-93da-11eb-a3db-dca2663dabe4.jpg,640,480,cold,185,177,315,390
horse.678a0b58-9447-11eb-8eb1-dca2663dabe4.jpg,640,480,horse,210,125,302,263
stop.04a8e322-955b-11eb-abce-dca2663dabe4.jpg,640,480,stop,56,207,292,429
stop.0d9752a2-955b-11eb-aabe-dca2663dabe4.jpg,640,480,stop,242,201,482,436
big.23b16c12-9a25-11eb-bfe3-dca2663dabe4.jpg,640,480,big,133,134,552,355
name.1f1ee14a-99fc-11eb-afce-dca2663dabe4.jpg,640,480,name,209,270,476,461
where.7009cc31-9703-11eb-9d0a-dca2663dabe4.jpg,640,480,where,249,79,428,419
more.486bd48a-94f4-11eb-ab84-dca2663dabe4.jpg,640,480,more,277,264,451,388
like.9e7f2ffc-99e6-11eb-a97a-dca2663dabe4.jpg,640,480,like,208,203,395,404
stop.f97327d0-955a-11eb-a570-dca2663dabe4.jpg,640,480,stop,79,194,315,376
with.71119c68-99fb-11eb-b7f7-dca2663dabe4.jpg,640,480,with,217,185,462,407
thank you.702ae939-9a25-11eb-9a55-dca2663dabe4.jpg,640,480,thank you,244,57,400,279
i.571cf4d6-9492-11eb-b981-dca2663dabe4.jpg,640,480,i,232,282,430,467
